X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
5.74593049968028;45.1879447503553;;;;way/52567133;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;"1.5";TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;"1.5";;EN SERVICE;LISSE;;2024-11-10;;true;;;OpenStreetMap;WGS84;
5.74579419496335;45.1881002538609;;;;way/309987460;;"38185";VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2023-04-28;;true;;;OpenStreetMap;WGS84;
5.74477246184514;45.187411645359;;;;way/85816271;;"38185";VOIE VERTE;AIRE PIETONNE;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2024-09-30;;true;;;OpenStreetMap;WGS84;
5.74413443783478;45.1865515223671;;;;way/720178815;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;ROLLER;2023-09-19;;true;;;OpenStreetMap;WGS84;
5.7435999;45.1863424504658;D 523;;;way/1118869789;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;;EN SERVICE;LISSE;;2023-09-19;"50";true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009"
5.74371049857349;45.1865003879333;D 523;;;way/42823717;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;;EN SERVICE;LISSE;;2025-01-10;"50";true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009"
5.74258520264155;45.1863302338973;;;;way/41740707;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2025-01-08;"30";true;;;OpenStreetMap;WGS84;
5.74321241571959;45.1860440247306;D 523;;;way/170083998;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2025-01-10;"50";true;;;OpenStreetMap;WGS84;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009
5.74309013058346;45.1853478023933;;;;way/170084002;;"38185";COULOIR BUS+VELO;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";COULOIR BUS+VELO;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2024-04-07;"30";true;;;OpenStreetMap;WGS84;
5.74260664468719;45.1856358048528;D 523;;;way/1133551904;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2025-01-10;"50";true;;;OpenStreetMap;WGS84;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009
5.74265679884572;45.1856804946295;;;;way/343750903;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2021-04-24;;true;;;OpenStreetMap;WGS84;
5.74304546750308;45.1869376200423;;;;way/26733970;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2025-01-08;"30";true;;;OpenStreetMap;WGS84;
